"","topDirector","topActor","CastGenderAVG","budget","popularity","revenue","runtime","vote_average","vote_count","holiday_month","num_lang","original_isEnglish","country_USA","country_UK","country_Germany","country_France","country_Canada","country_Austr","genre_Action","genre_Adventure","genre_Fantasy","genre_Science Fiction","genre_Crime","genre_Drama","genre_Thriller","genre_Animation","genre_Family","genre_Western","genre_Comedy","genre_Romance","genre_Horror","genre_Mystery","genre_History","genre_War","genre_Music","genre_Documentary","genre_Foreign","genre_TV Movie"
"113",0,1,1.76,155000000,39.019229,167298192,175,5.6,927,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"114",0,1,1.68,150000000,78.144395,938212738,138,7.4,5494,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"115",0,1,1.72727272727273,150000000,101.250416,895921036,157,7.5,5608,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"116",1,1,1.76,150000000,56.758411,624029371,92,6.2,2961,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,1,1.5,150000000,70.867401,585349010,101,6.9,4853,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"118",0,1,1.60869565217391,150000000,53.905592,474968763,115,6.7,3624,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"119",1,0,1.88235294117647,150000000,65.677399,623722818,111,7.5,4369,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"120",1,1,1.85567010309278,150000000,115.040024,374218673,140,7.5,7359,1,3,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",0,0,1.75,150000000,44.141021,603900354,89,6.2,1810,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"122",0,1,1.90625,150000000,81.781591,413106170,105,5.9,1971,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"123",0,0,1.76666666666667,150000000,5.954334,373062864,107,6.2,4021,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,1,1.71428571428571,150000000,73.313918,424988211,129,6.4,3096,1,2,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,1.5625,150000000,165.125366,1274219009,102,7.3,5295,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"126",0,1,1.78048780487805,150000000,70.78591,738599701,138,6.7,3443,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,1,1.75,170000000,99.499595,644571402,112,6.8,4755,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",1,1,1.58064516129032,150000000,434.278564,378858340,120,7.2,9427,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",1,1,1.90322580645161,150000000,67.447636,356613439,138,6.5,2129,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"130",1,1,1.84375,150000000,86.493424,449326618,115,6.6,6525,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,1.73333333333333,150000000,41.845878,309979994,98,6.3,1750,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"132",0,0,1.8,150000000,26.710398,292817841,88,5.1,510,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"133",0,0,1.76923076923077,150000000,44.927635,3.01e+08,99,5.5,1431,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,1,1.52941176470588,150000000,50.306728,245527149,113,5.7,2320,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"135",0,1,1.75,150000000,114.522237,682330139,131,7.1,3224,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,1,1.72727272727273,150000000,21.214571,0,102,5.5,549,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
